Product\tProportion
Gasoline\t51,3
Distillate fuel oil\t15,3
Jet fuel\t12,6
Still gas\t5,4
Marketable coke\t5
Residual fuel oil\t3,3
Liquefied refinery gas\t2,8
Asphalt and toad oil\t1,9
Lubricants\t0,9
Other \t1,5
